date	AFG	ALB	DZA	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BOL	BWA	BRA	BGR	BFA	BDI	CPV	KHM	CMR	CAN	CAF	TCD	CHL	HKG	MAC	CHN	COL	COM	COD	COG	CRI	CIV	HRV	CYP	CZE	CSK	DNK	DMA	DOM	ECU	EGY	SLV	GNQ	EST	ETH	EMU	FJI	FIN	FRA	PYF	NCL	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GLP	GTM	GUF	GNB	GUY	HTI	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KOR	KWT	KGZ	LVA	LBN	LSO	LBR	LBY	LTU	LUX	MKD	MDG	MWI	MYS	MDV	MLI	MLT	MTQ	MUS	MEX	MDA	MNG	MNE	MAR	MMR	NAM	NPL	NLD	ANT	NZL	NIC	NGA	NOR	OMN	PAK	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	REU	ROU	RUS	RWA		WSM	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	ZAF	ESP	LKA	KNA	LCA	VCT	SDN	SUR	SWZ	SWE	CHE	SYR	TWN	TJK	TZA	THA	TLS	TGO	TON	TTO	TUN	TUR	UGA	UKR	ARE	GBR	USA	URY	VUT	VEN	VNM	YMN	YMD	YUG	ZMB
1/1/1960				247,000,000.00			63,200,000.00			164,080,026.27	75,153,846.08				565,831.92												5,745,714.29		462,477,179.77				53,724,865.64			37,100,000.00				6,400,000.00			3,998,398.41			115,098,289.50		9,390,000.00		52,836,820.47							57,499,999.96	592,660,408.76						806,666,666.05	33,897,546.95		17,566,491.00			10,640,000.00			2,974,992.56	3,540,000.00	3,900,000.00		11,052,641.27	107,940,107.85	55,000,000.00	62,600,660.00	55,803,977.78	32,479,987.07	23,700,000.00	233,450,000.00	12,151,995.15	217,777,777.56				1,000,000.00						9,400,000.00	839,999.67									778,399.69		1,386,001.38	71,279,999.93				29,048,570.37	16,359,016.35			329,736,841.86	54,510,939.28	77,419,753.77		39,899,984.06	69,719,972.05		41,580,041.55	2,300,000.00		1,500,000.00	31,999,290.87	43,999,999.98		15,513,043.46									62,554,498.66	7,170,037.64				97,346,809.38				93,519,962.63	53,349,999.95	37,170,000.00		236,249.41		8,729,561.64	3,236,074.27		196,396,434.55	115,482,683.23		14,100,000.00			32,939,899.88					12,071,428.59	48,200,000.00				943,599,624.26	1,567,000,000.00	12,100,000.00		197,073,753.42			14,279,994.31	31,300,000.00	44,500,000.00
2/1/1960				269,000,000.00			74,000,000.00			185,808,029.75	83,961,538.38				513,332.05												3,440,000.00		473,058,737.04				54,774,863.02			40,800,000.00				11,400,000.00			2,601,198.96			117,559,510.78		9,690,000.00		48,529,470.98							58,124,999.96	607,243,986.83						872,142,856.48	28,434,719.13		15,666,510.00			12,220,000.00			6,609,150.14	4,000,000.00	4,900,000.00		7,631,578.95	102,480,102.40	70,000,000.00	58,059,405.88	52,107,979.25	31,359,987.51	26,900,000.00	307,510,000.00	10,387,995.85	318,055,555.24				2,000,000.00						7,240,000.00	559,999.78									876,399.65		3,759,003.76	59,919,999.94				26,874,867.83	23,226,023.21			379,736,841.83	58,063,695.05	111,019,646.90		43,119,982.77	69,299,972.22		32,970,032.94	2,160,000.00		1,600,000.00	24,094,576.84	46,999,999.98		24,486,956.50									59,694,864.43	10,879,045.83				95,060,139.36				106,119,957.59	66,666,666.60	31,080,000.00		209,416.14		11,342,687.00	3,289,124.67		213,020,542.20	141,323,362.84		11,100,000.00			32,656,748.88					9,833,333.35	30,400,000.00				876,399,651.02	1,584,000,000.00	13,100,000.00		179,157,957.65			11,199,995.54	39,000,000.00	38,600,000.00
3/1/1960				310,000,000.00			105,500,000.00			197,456,031.62	97,115,384.52				2,794,159.68												6,691,428.57		483,366,284.62				61,949,845.07			33,400,000.00				9,900,000.00			5,202,397.93			126,246,174.14		11,470,000.00		47,093,687.81							54,999,999.96	608,661,834.70						1,040,238,094.45	30,675,879.26		17,666,490.00			15,080,000.00			5,349,153.29	3,360,000.00	7,550,000.00		4,473,684.21	111,090,111.00	89,000,000.00	63,194,719.41	52,723,979.01	36,399,985.51	23,200,000.00	331,936,835.32	14,559,994.18	348,888,888.54				1,000,000.00						7,860,000.00	559,999.78									1,016,399.60		672,000.67	57,999,999.94				27,270,086.47	31,773,031.75			409,999,999.70	50,905,157.30	91,139,710.13		39,759,984.11	86,519,965.32		24,780,024.76	3,130,000.00		2,000,000.00	27,292,639.35	43,499,999.98		25,043,478.24									60,052,318.71	16,017,872.50				101,593,482.27				121,379,951.50	73,333,333.26	38,640,000.00		377,999.05		11,285,255.68	3,183,023.87		191,950,452.27	164,877,256.64		15,200,000.00			40,726,552.43					12,619,047.64	20,000,000.00				923,999,632.06	1,755,000,000.00	11,900,000.00		179,456,554.25			9,519,996.21	47,300,000.00	48,400,000.00
3/31/1960				293,000,000.00			106,100,000.00			157,360,025.20	94,769,230.68				3,196,658.67												3,234,285.71		399,053,899.71				55,649,860.83			33,200,000.00				8,200,000.00			4,507,998.20			115,677,400.39		13,080,000.00		78,106,604.17							68,437,499.95	557,416,761.76						890,952,380.27	24,512,688.91		11,966,547.00			11,210,000.00			7,314,981.71	3,140,000.00	5,950,000.00		5,526,315.79	98,070,097.99	81,000,000.00	51,247,524.70	51,659,979.43	28,279,988.74	19,700,000.00	303,999,999.70	14,699,994.13	310,833,333.02				3,000,000.00						6,080,000.00	839,999.67									1,595,999.36		2,793,002.79	58,239,999.94				29,246,179.69	30,597,030.57			357,368,420.79	53,503,441.38	75,599,759.56		40,879,983.66	72,379,970.99		29,400,029.38	2,770,000.00		1,580,000.00	31,497,712.75	63,366,399.87		24,382,608.67									60,052,318.71	10,927,806.00				98,000,143.67				106,119,957.59	73,333,333.26	30,240,000.00		233,916.08		18,780,043.80	3,819,628.65		207,801,345.61	147,269,005.93		14,000,000.00			30,863,459.20					12,619,047.64	24,600,000.00				918,399,634.29	1,819,000,000.00	9,000,000.00		184,477,612.00			10,919,995.65	48,000,000.00	43,100,000.00
4/30/1960				307,000,000.00			94,600,000.00			172,592,027.64	95,730,769.14				3,774,157.23												3,671,428.57		520,235,149.82				61,599,845.95			34,800,000.00				6,300,000.00			6,476,397.42			122,337,175.63		18,100,000.00		67,194,652.12							76,562,499.95	575,443,684.65						948,095,237.37	30,675,879.26		12,299,877.00			14,230,000.00			6,469,150.49	2,280,000.00	6,900,000.00		5,000,000.00	104,790,104.71	63,000,000.00	56,633,663.31	57,063,977.28	32,199,987.18	15,600,000.00	329,599,999.67	15,231,993.92	311,388,888.58				3,000,000.00						8,560,000.00	559,999.78									1,293,599.48		2,856,002.85	65,279,999.93				39,126,645.81	23,604,023.59			374,999,999.72	51,064,235.92	67,059,786.72		55,719,977.73	70,419,971.77		42,420,042.39	2,970,000.00		2,810,000.00	33,398,472.20	75,247,599.85		27,826,086.93									62,554,498.66	11,383,065.54				97,020,142.23				111,019,955.64	66,666,666.60	27,930,000.00		503,998.74		23,288,402.94	3,925,729.44		210,120,988.54	151,842,577.55		15,500,000.00			33,175,859.05					13,714,285.73	17,500,000.00				946,399,623.14	1,816,000,000.00	11,700,000.00		187,220,065.75			13,159,994.76	41,300,000.00	49,800,000.00
5/30/1960				193,000,000.00			96,700,000.00			175,504,028.10	91,807,692.22				3,779,990.55												5,031,428.57		487,051,098.88				51,799,870.46			29,500,000.00				7,400,000.00			6,834,797.28			133,340,282.55		15,540,000.00		35,033,109.23							96,562,499.93	553,365,767.85						901,428,570.74	44,963,275.08		12,033,213.00			8,220,000.00			4,065,823.17	2,760,000.00	6,400,000.00		4,736,842.11	98,910,098.83	77,000,000.00	52,831,683.12	54,487,978.30	30,519,987.85	14,800,000.00	284,799,999.72	13,635,994.55	337,222,221.89				3,000,000.00						6,360,000.00	559,999.78									705,599.72		903,000.90	41,439,999.96				31,419,882.24	18,963,018.95			365,789,473.41	51,965,681.42	83,999,732.84		42,419,983.05	74,479,970.14		36,330,036.30	2,780,000.00		2,420,000.00	37,491,294.59	54,950,549.89		24,139,130.41									61,482,135.82	9,303,998.32				98,326,810.81				111,719,955.36	39,999,999.96	34,020,000.00		300,415.92		21,709,041.45	3,819,628.65		207,994,649.19	146,582,970.19		16,600,000.00			29,730,855.19					9,833,333.35	16,800,000.00				823,199,672.20	1,747,000,000.00	23,200,000.00		181,682,577.62			12,039,995.21	53,300,000.00	60,500,000.00
6/29/1960				250,000,000.00			88,800,000.00			148,960,023.85	98,692,307.60				3,155,825.44												8,477,428.57		497,603,229.80				60,374,849.01			30,600,000.00				6,400,000.00			3,639,998.55			117,704,288.51		13,160,000.00		43,647,808.22							94,999,999.93	563,898,352.01						970,714,284.97	21,991,383.76		9,433,239.00			3,450,000.00			4,829,987.92	2,000,000.00	5,100,000.00		3,684,210.53	96,600,096.52	72,000,000.00	55,894,389.38	52,527,979.08	33,599,986.62	14,700,000.00	311,999,999.69	14,951,994.03	339,444,444.11				2,000,000.00						5,500,000.00	559,999.78									809,199.68		441,000.44	58,319,999.94				25,293,993.25	20,706,020.69			367,105,262.89	60,555,926.71	64,819,793.84		37,519,985.01	62,859,974.80		17,010,017.00	2,460,000.00		2,450,000.00	30,594,094.63	43,564,399.91		27,895,652.15									61,124,681.55	12,244,101.64				94,733,472.21				102,759,958.94	56,666,666.61	29,400,000.00		431,082.26		19,641,513.70	3,872,679.05		207,608,042.03	158,931,613.55		9,900,000.00			28,787,018.52					6,976,190.49	13,200,000.00				825,999,671.09	1,705,000,000.00	9,300,000.00		181,899,641.63			12,599,994.98	44,700,000.00	57,700,000.00
7/29/1960				259,000,000.00			102,800,000.00			148,512,023.78	88,653,846.07				2,414,993.96												5,402,857.14		518,209,940.23				57,574,856.02			35,200,000.00				5,600,000.00			3,891,998.45			119,007,288.01		15,440,000.00		45,657,904.65							92,499,999.94	429,607,903.96						849,761,904.11	28,154,574.12		8,899,911.00			4,380,000.00			5,337,486.65	3,780,000.00	5,000,000.00		5,526,315.79	116,340,116.25	43,000,000.00	60,422,442.18	55,383,977.95	38,639,984.61	15,000,000.00	289,599,999.71	17,975,992.82	341,111,110.77				2,000,000.00						7,300,000.00	559,999.78									691,599.72		5,355,005.35	92,159,999.91				26,874,867.83	15,456,015.44			352,631,578.69	56,844,092.32	64,959,793.40		35,419,985.85	68,879,972.39		28,980,028.96	2,240,000.00		3,430,000.00	43,791,075.75	55,940,649.89		25,982,608.67									56,214,388.57	7,591,652.86				98,653,477.96				94,639,962.18	44,999,999.96	35,070,000.00		250,832.71		14,242,969.00	3,713,527.85		199,102,684.63	135,377,719.74		11,400,000.00			34,355,654.89					6,928,571.44	20,700,000.00				845,599,663.28	1,624,000,000.00	9,100,000.00		180,597,014.98			16,239,993.53	46,000,000.00	57,100,000.00
8/28/1960				280,000,000.00			94,100,000.00			144,592,023.15	98,230,769.14				1,003,330.82												7,491,428.57		481,243,187.70				59,849,850.33			56,600,000.00				5,600,000.00			4,731,998.12			121,178,953.85		13,080,000.00		17,803,711.25							96,874,999.93	550,732,621.81						925,476,189.77	20,590,658.68		13,466,532.00			3,740,000.00			8,224,979.43	2,000,000.00	4,250,000.00		4,736,842.11	107,310,107.23	81,000,000.00	59,999,999.94	54,739,978.20	43,679,982.61	14,900,000.00	307,199,999.69	10,331,995.87	368,055,555.19				4,000,000.00						6,200,000.00	839,999.67									733,599.71		6,594,006.59	70,799,999.93				22,527,462.74	12,138,012.13			419,473,683.90	47,299,375.33	56,419,820.56		28,559,988.59	72,519,970.93		31,710,031.68	1,860,000.00		2,430,000.00	43,350,775.89	46,534,699.91		28,730,434.75									58,584,874.83	11,835,964.92				83,953,456.41				103,739,958.55	41,666,666.63	28,980,000.00		135,916.33		13,180,489.45	3,342,175.07		216,113,399.44	160,075,006.45		8,900,000.00			31,476,953.04					8,023,809.53	24,100,000.00				789,599,685.58	1,617,000,000.00	5,900,000.00		183,880,597.07			17,359,993.09	46,700,000.00	46,800,000.00
9/27/1960				442,000,000.00			84,700,000.00			154,784,024.78	100,730,769.13				1,889,995.27												4,100,000.00		515,742,462.99				56,174,859.52			41,800,000.00				3,900,000.00			3,527,998.60			131,602,949.88		25,470,000.00		30,725,759.73							111,249,999.92	621,219,915.81						997,142,856.38	15,688,120.90		16,599,834.00			6,660,000.00			7,268,315.16	1,520,000.00	4,200,000.00		7,631,578.95	115,500,115.41	69,000,000.00	38,895,382.30	56,923,977.33	41,439,983.50	14,400,000.00	332,799,999.67	11,143,995.55	352,777,777.43				2,000,000.00						5,110,000.00	1,119,999.56									755,999.70		7,392,007.39	58,559,999.94				26,874,867.83	12,726,012.72			423,421,052.32	52,124,760.03	47,039,850.39		26,319,989.48	74,199,970.26		40,110,040.08	1,840,000.00		2,940,000.00	43,494,748.02	43,564,399.91		30,886,956.49									64,341,770.05	6,071,943.92				90,160,132.17				101,359,959.50	53,333,333.28	36,750,000.00		224,582.77		10,883,236.39	4,297,082.23		238,923,221.56	175,396,471.35		12,400,000.00			31,288,185.70					8,595,238.11	32,000,000.00				781,199,688.93	1,750,000,000.00	5,800,000.00		268,219,832.82			18,199,992.75	50,300,000.00	48,700,000.00
