date,"Afghanistan, Islamic Republic of",Albania,Angola,Argentina,"Armenia, Republic of",Aruba,Australia,Austria,"Azerbaijan, Republic of","Bahrain, Kingdom of",Bangladesh,Barbados,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Canada,Chile,"China, P.R.: Hong Kong","China, P.R.: Mainland",Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cyprus,Czech Republic,Denmark,Dominican Republic,Egypt,El Salvador,Estonia,Euro Area,Fiji,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Honduras,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kiribati,"Korea, Republic of","Kosovo, Republic of",Kuwait,Kyrgyz Republic,Latvia,Lithuania,Luxembourg,"Macedonia, FYR",Malawi,Malaysia,Mali,Malta,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,Rwanda,Sao Tome and Principe,Saudi Arabia,Senegal,"Serbia, Republic of",Seychelles,Singapore,Slovak Republic,Slovenia,Solomon Islands,South Africa,Spain,Sri Lanka,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tanzania,Thailand,"Timor-Leste, Dem. Rep. of",Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Kingdom,United States,Uruguay,Vanuatu,"Venezuela, Republica Bolivariana de",West Bank and Gaza,Zambia
1/1/1948,,,,,,,,,,,,,,,,,,,,,,,,,"786,034,912.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1949,,,,,,,,,,,,,,,,,,,,,,,,,"839,909,297.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1950,,,,,,,,,,,,,,,,,,,,,,,,,"984,033,963.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1951,,,,,,,,,,,,,,,,,,,,,,,,,"1,208,041,105.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1952,,,,,,,,,,,,,,,,,,,,,,,,,"1,373,190,811.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1953,,,,,,,,,,,,,,,,,,,,,,,,,"1,597,071,019.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1954,,,,,,,,,,,,,,,,,,,,,,,,,"1,765,288,214.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1955,,,,,,,,,,,,,,,,,,,,,,,,,"1,837,045,342.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1956,,,,,,,,,,,,,,,,,,,,,,,,,"2,076,044,599.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"344,874,999.75",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1957,,,,,,,,,,,,,,,,,,,,,,,,,"2,218,073,527.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400,757,499.71",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1958,,,,,,,,,,,,,,,,,,,,,,,,,"2,348,524,014.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"449,199,374.68",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1959,,,,,,,,,,,,,,,,,,,,,,,,,"2,527,872,588.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483,751,249.65",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1960,,,,,,,,,,,,,,,,,,,,,,,,,"2,610,758,034.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"519,399,999.63",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1961,,,,,,,,,,,,,,,,,,,,,,,,,"2,621,407,899.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"581,780,199.59",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1962,,,,,,,,,,,,,,,,,,,,,,,,,"2,723,036,578.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"645,114,179.54",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1963,,,,,,,,,,,,,,,,,,,,,,,,,"3,005,026,836.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"700,917,499.50",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1964,,,,,,,,,,,,,,,,,,,,,,,,,"3,210,484,264.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"727,213,859.48",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1965,,,,,,,,,,,,,,,,,,,,,,,,,"3,399,980,468.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"769,862,499.45",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1966,,,,,,,,,,,,,,,,,,,,,,,,,"3,607,634,253.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"912,578,749.35",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1967,,,,,,,,,,,,,,,,,,,,,,,,,"3,929,349,435.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"963,002,249.31",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1968,,,,,,,,,,,,,,,,,,,,,,,,,"4,534,421,145.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,002,009,749.28",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1969,,,,,,,,,,,,,,,,,,,,,,,,,"5,117,796,425.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,107,809,999.21",,,,,,,,,,,,,,,,,,,,,,,,
1/1/1970,,,,,,,,,,,,,,,,,,,,,,,,,"6,447,538,574.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,211,603,249.13",,,,,,,,,,,,,,,,,,,,,,,,
