date	AGO	ARG	ARM	BOL	BRA	CHL	COL	DOM	ECU	GTM	HND	IRN	MDV	MEX	MDA	NIC	PRY	PER	ROU	RUS	TJK	UKR	VEN
1/1/60	3,670,000,000.00	1,105,700,000.00		60,890,000.00	1,293,000,000.00	525,600,000.00	458,938,053.10	87,000,000.00	100,300,000.00	110,200,000.00	65,272,727.24	495,341,569.06	3,636,363.64			65,490,000.00	32,390,000.00	302,881,998.28					1,061,035,281.92
1/1/61	3,267,000,000.00	1,292,600,000.00		66,180,000.00	1,292,000,000.00	597,800,000.00	493,008,849.56	69,500,000.00	93,600,000.00	109,700,000.00	65,499,999.97	535,062,355.26	3,060,000.00			67,870,000.00	34,730,000.00	375,529,042.65					1,069,028,272.68
1/1/62	3,899,000,000.00	1,200,600,000.00		82,480,000.00	1,304,000,000.00	571,300,000.00	478,141,592.92	129,100,000.00	85,100,000.00	110,900,000.00	72,545,454.51	469,639,883.87	2,970,000.00			89,740,000.00	34,700,000.00	429,348,361.48					1,164,296,273.25
1/1/63	4,133,000,000.00	867,900,000.00		87,750,000.00	1,294,000,000.00	557,500,000.00	457,091,237.58	160,260,000.00	112,700,000.00	155,990,000.00	86,545,454.50	463,798,591.78	1,731,661.73			101,180,000.00	32,600,000.00	445,577,926.92					1,105,462,166.23
1/1/64	4,714,000,000.00	953,500,000.00		87,320,000.00	1,086,000,000.00	607,200,000.00	525,358,422.94	192,380,000.00	132,580,000.00	184,470,000.00	92,409,090.86	595,811,792.97	2,009,492.01			125,140,000.00	33,770,000.00	463,564,504.10					1,125,545,024.65
1/1/65	5,601,000,000.00	1,059,800,000.00		113,720,000.00	941,000,000.00	603,600,000.00	404,549,509.37	86,740,000.00	144,160,000.00	210,640,000.00	110,863,636.31	760,536,229.85	1,648,291.65			146,790,000.00	47,360,000.00	583,743,475.02					1,280,898,876.69
1/1/66	6,002,000,000.00	993,200,000.00		118,010,000.00	1,303,000,000.00	750,600,000.00	595,057,369.81	160,760,000.00	151,760,000.00	188,060,000.00	135,254,627.75	823,622,184.40	2,059,472.06			166,140,000.00	50,210,000.00	662,967,934.38					1,178,426,966.56
1/1/67	7,906,000,000.00	969,600,000.00		128,800,000.00	1,441,000,000.00	722,400,000.00	430,962,705.99	174,720,000.00	186,250,000.00	226,490,000.00	148,923,469.95	990,683,138.12	3,156,960.59			186,220,000.00	60,650,000.00	660,190,690.94					1,300,674,157.60
1/1/68	8,844,000,000.00	1,034,700,000.00		130,310,000.00	1,855,000,000.00	742,700,000.00	572,330,960.86	196,870,000.00	222,030,000.00	228,310,000.00	167,189,821.35	1,223,357,148.17	1,974,105.26			169,090,000.00	61,500,000.00	516,423,772.61					1,505,842,696.97
1/1/69	9,279,000,000.00	1,394,800,000.00		140,670,000.00	1,993,000,000.00	907,100,000.00	601,140,350.88	217,240,000.00	229,900,000.00	229,280,000.00	166,103,637.30	1,342,073,071.55	2,818,947.37			161,490,000.00	70,430,000.00	490,769,790.79					1,543,595,505.96
