date	AFG	ALB	DZA	AGO	ATG	ARG	ARM	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BTN	BOL	BIH	BWA	BRA	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	CAF	TCD	CHL	CHN	COL	COM	COD	COG	CRI	CIV	HRV	CYP	CZE	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GRC	GRD	GTM	GIN	GNB	GUY	HTI	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KOR	UVK	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LTU	LUX	MKD	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MDA	MNG	MNE	MAR	MOZ	MMR	NAM	NPL	NLD	NZL	NIC	NER	NGA	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	ROU	RUS	RWA	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	ZAF	SSD	ESP	LKA	KNA	LCA	VCT	SDN	SUR	SWZ	SWE	CHE	SYR	TWN	TJK	TZA	THA	TLS	TGO	TON	TTO	TUN	TUR	TKM	TUV	UGA	UKR	ARE	GBR	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE
1/1/1980	n/a	4.708	32.586	17.832		21.897	n/a	27.179	33.281	n/a	19.499	22.563	13.336	19.855	n/a	27.392	25.578	39.033	31.123	n/a	n/a	41.587	23.507	n/a	16.856	11.409	43.951	35.194	n/a	22.43	22.639	4.297	11.628	n/a	34.706	20.226	22.318	n/a	20.826	26.565	21.455	n/a	49.065	n/a	20.124	n/a	36.124	32.555	20.217	35.744	n/a	35.72	n/a	n/a	15.749	30.695	30.15	25.666	30.713	3.733	n/a	30.029	3.663	30.187	27.687	15.89	14.447	30.544	42.975	n/a	27.114	34.853	32.598	29.077	19.169	31.932	35.346		28.16	20.412	27.594	12.012	32.139	37.171	n/a	25.526		34.456		13.885	n/a		n/a		34.633		27.01	n/a	20.563		14.962	12.231	34.882	n/a	10.964	24.472		n/a	26.318	26.716		n/a	46.664	n/a	27.16	14.696	n/a	n/a	6.558	24.216	23.383	n/a	28.113	20.332	28.288	21.185	19.936	n/a	23.774	23.205	28.783	27.031	34.485	n/a	36.421		28.418	n/a	11.593		n/a	n/a	20.926	16.591	n/a	64.98	10.801	45.034	n/a	n/a	2.667	31.356	n/a	23.001	49.483	31.658	35.414	28.373	-3.638	n/a	31.032	24.715	32.129	27.886	34.139	n/a	35.521	26.513		27.727	n/a	30.605	28.228	26.527			n/a	n/a	28.972	20.35	23.267	19.226	n/a	n/a	24.25	14.3	n/a	25.145	n/a
1/1/1981	n/a	43.074	30.83	19.342		19.699	n/a	28.938	29.008	n/a	19.499	22.563	18.665	22.256	n/a	23.32	26.644	46.563	38.464	16.051	n/a	45.152	23.304	n/a	18.676	15.334	47.663	43.752	n/a	28.987	25.419	4.297	11.628	24.532	33.078	21.805	22.318	n/a	24.928	29.025	27.081	n/a	43.899	n/a	17.014	n/a	23.945	29.139	19.762	35.085	14.241	29.747	n/a	n/a	15.3	32.107	27.334	23.441	38.109	7.091	n/a	27.259	5.759	25.829	34.713	17.031	14.447	19.25	47.811	n/a	22.828	34.94	31.222	28.76	18.943	38.668	36.567		29.153	19.12	23.857	14.688	31.064	46.031	n/a	26.988		32.445		16.508	n/a		n/a		35.109		34.861	n/a	19.203		11.478	8.774	40.148	n/a	9.912	27.333		n/a	24.903	26.903		n/a	71.428	n/a	29.297	29.801	n/a	n/a	-0.655	21.484	21.312	n/a	20.292	19.06	27.769	21.826	18.489	n/a	26.389	25.028	28.831	32.177	33.185	n/a	38.178		26.236	n/a	11.978		n/a	n/a	20.172	24.89	n/a	-8.629	9.876	44.789	n/a	n/a	2.667	34.115	n/a	22.511	29.842	24.653	35.341	23.363	-2.269	n/a	25.307	22.081	29.33	23.501	30.402	n/a	35.33	26.352		28.404	n/a	26.86	31.073	25.477			n/a	n/a	26.788	19.106	24.247	17.059	n/a	n/a	22.503	14.3	n/a	20.747	n/a
1/1/1982	n/a	46.194	31.091	21.943		18.825	n/a	26.541	26.123	n/a	19.499	22.563	18.293	18.256	n/a	22.288	22.538	37.329	40.451	15.624	n/a	31.795	21.379	n/a	17.441	14.541	60.349	46.777	n/a	26.486	19.998	2.503	10.585	13.477	32.143	21.649	22.318	n/a	22.154	24.686	27.076	n/a	42.577	n/a	18.271	n/a	21.754	26.158	22.503	35.587	13.09	75.666	n/a	n/a	15.497	28.511	27.449	23.718	37.25	6.47	n/a	25.414	3.028	28.967	37.553	14.006	14.447	21.043	35.911	n/a	15.961	30.983	30.026	29.963	19.081	37.316	16.355		27.629	21.694	23.313	14.944	29.768	39.44	n/a	24.423		32.209		22.948	n/a		n/a		37.847		29.594	n/a	14.968		8.486	11.004	42.513	n/a	11.481	33.282		n/a	22.987	23.69		n/a	70.123	n/a	31.659	26.787	n/a	n/a	7.091	20.426	22.94	n/a	20.588	20.906	28.761	25.18	18.941	n/a	23.886	29.492	25.627	31.321	33.489	n/a	38.257		28.338	n/a	16.559		n/a	n/a	20.706	19.901	n/a	44.989	8.203	46.281	n/a	n/a	2.667	26.529	n/a	22.294	31.579	25.765	34.524	21.246	4.462	n/a	23.96	21.759	29.129	23.956	26.217	n/a	32.053	23.235		24.972	n/a	27.499	30.579	22.862			n/a	n/a	29.317	19.753	22.063	16.039	n/a	n/a	25.451	14.3	n/a	17.737	n/a
1/1/1983	n/a	49.17	31.329	18.213		18.114	n/a	23.097	25.474	n/a	19.499	22.563	17.269	16.099	n/a	19.44	18.917	18.791	39.803	13.238	n/a	27.372	17.075	n/a	16.656	10.758	62.576	44.276	n/a	27.781	20.311	4.297	5.519	12.036	32.03	21.055	22.318	n/a	32.213	22.503	21.777	n/a	40.551	n/a	18.364	n/a	19.893	25.285	14.413	30.273	11.696	55.066	n/a	n/a	13.74	25.316	27.013	21.673	40.717	5.789	n/a	26.446	6.737	27.853	36.361	11.547	14.447	17.847	30.592	n/a	15.614	26.669	27.796	22.907	18.232	39.096	29.067		24.052	22.582	21.717	15.923	27.799	33.012	n/a	23.974		32.782		24.786	n/a		n/a		33.214		29.409	n/a	19.657		8.365	11.886	41.158	n/a	11.823	30.502		n/a	18.592	21.289		n/a	61.143	n/a	26.91	21.363	n/a	n/a	17.546	21.129	24.001	n/a	12.545	18.543	26.379	25.041	18.489	n/a	20.542	29.289	21.442	22.245	35.744	n/a	32.538		30.19	n/a	16.58		n/a	n/a	21.636	19.939	n/a	14.201	7.982	46.469	n/a	n/a	2.667	27.173	n/a	21.626	26.353	28.511	22.416	19.196	3.267	n/a	26.346	21.599	29.531	23.888	25.45	n/a	27.499	25.998		20.958	n/a	26.42	31.956	19.3			n/a	n/a	32.02	20.713	22.228	15.779	n/a	n/a	11.419	14.3	n/a	16.143	n/a
1/1/1984	n/a	51.388	29.229	18.163		17.355	n/a	26.772	27.373	n/a	19.499	30.689	17.008	13.089	n/a	20.431	20.318	15.011	36.348	19.672	n/a	31.033	16.053	n/a	17.62	12.564	57.814	40.247	n/a	27.765	21.127	3.664	5.936	15.803	34.528	20.157	13.585	n/a	17.694	22.699	14.441	n/a	45.168	n/a	20.603	n/a	26.531	21.952	14.541	28.154	13.481	43.52	n/a	n/a	18.744	20.664	25.913	21.151	37.862	5.887	n/a	26.188	5.73	28.708	31.194	11.573	13.448	24.542	37.407	n/a	19.311	24.418	26.75	24.959	19.126	34.822	22.206		22.756	20.657	23.715	16.807	27.672	29.91	n/a	22.433		32.248		21.024	n/a		n/a		36.847		26.942	n/a	21.718		8.614	6.23	35.856	n/a	7.672	29.472		n/a	21.189	20.761		n/a	54.77	n/a	28.373	18.509	n/a	n/a	24.878	21.313	29.38	n/a	3.148	22.638	27.526	25.724	17.973	n/a	15.281	29.132	22.932	18.965	27.095	27.44	27.247		31.046	n/a	18.111		n/a	n/a	27.545	19.384	n/a	15.907	6.972	46.954	n/a	n/a	2.667	25.543	n/a	19.967	25.603	23.293	20.225	21.397	2.651	n/a	24.073	22.411	26.915	24	24.409	n/a	24.662	25.017		13.85	n/a	21.894	34.312	18.065			7.471	n/a	29.552	21.776	25.077	13.361	n/a	n/a	18.112	14.3	n/a	18.971	n/a
1/1/1985	n/a	44.829	27.682	13.902		15.324	n/a	27.283	27.009	n/a	19.499	23.88	17.381	12.46	n/a	19.658	17.377	9.818	45.342	19.464	n/a	16.936	19.131	n/a	16.164	20.934	47.726	42.866	n/a	26.641	21.724	4.885	13.288	19.303	39.353	20.309	12.257	n/a	20.34	25.889	17.441	n/a	41.363	n/a	22.1	n/a	20.562	21.354	16.007	26.144	11.531	29.038	n/a	n/a	12.057	21.955	25.423	21.09	43.616	5.499	n/a	25.106	7.509	29.682	29.914	11.494	13.448	18.868	38.25	n/a	18.937	21.5	25.928	22.566	20.602	36.81	21.111		20.115	17.465	23.779	16.327	28.193	21.055	n/a	28.55		32.566		18.855	n/a		n/a		36.371		19.057	n/a	17.003		8.546	9.497	29.876	n/a	6.464	28.752		n/a	24.606	21.916		n/a	54.546	n/a	30.441	13.648	n/a	n/a	21.011	21.797	27.643	n/a	12.749	21.905	27.5	25.946	17.99	n/a	15.874	21.81	21.984	17.043	19.127	28.83	25.937		33.901	n/a	17.134		n/a	n/a	21.453	17.192	n/a	16.375	5.772	41.134	n/a	n/a	2.667	22.05	n/a	20.416	24.01	23.393	21.124	21.992	2.155	n/a	21.931	24.337	27.659	24.05	20.877	n/a	25.144	28.35		16.822	n/a	21.305	28.821	19.619			8.59	n/a	25.461	21.806	24.145	12.526	n/a	n/a	19.154	14.3	n/a	23.941	n/a
1/1/1986	n/a	42.992	27.919	13.957		15.168	n/a	25.594	26.899	n/a	19.499	8.545	17.091	12.933	n/a	19.25	17.444	14.613	40.531	13.536	n/a	25.395	19.29	n/a	19.436	17.745	47.171	38.272	9.282	27.299	21.872	4.841	13.75	20.935	38.044	19.368	11.551	n/a	21.841	25.21	15.013	n/a	36.157	n/a	23.785	n/a	16.186	23.954	17.267	23.778	12.118	31.696	n/a	n/a	17.9	17.814	24.35	21.67	38.929	3.991	n/a	25.136	8.225	29.296	32.126	10.336	16.068	16.586	36.274	n/a	15.165	23.432	28.245	20.136	20.08	36.384	26.06		19.119	17.94	21.858	16.463	27.961	19.835	n/a	26.028		32.422		22.11	n/a		n/a		33.8		23.55	n/a	20.387		9.039	5.966	27.917	n/a	9.726	25.733		n/a	24.352	18.995		n/a	59.122	n/a	25.579	12.695	n/a	n/a	18.876	23.264	25.082	n/a	11.603	23.303	32.892	26.98	18.532	n/a	16.493	21.727	25.023	19.843	19.533	23.708	25.498		35.23	n/a	16.376		n/a	n/a	19.459	11.705	n/a	18.624	6.552	36.587	n/a	n/a	4.876	21.021	n/a	21.037	23.348	21.604	20.205	23.39	8.5	n/a	18.285	23.033	29.835	22.458	20.721	n/a	21.343	26.002		18.83	n/a	21.363	25.434	23.497			8.933	n/a	30.744	21.698	23.686	12.331	n/a	n/a	20.809	14.3	n/a	30.142	n/a
1/1/1987	n/a	44.964	25.041	13.84		16.969	n/a	26.432	27.045	n/a	15.499	19.567	16.83	12.933	n/a	20.311	22.287	13.222	30.154	13.021	n/a	8.142	22.535	n/a	16.593	17.074	51.887	37.44	13.537	26.455	22.388	5.653	14.288	24.234	37.696	21.186	9.868	n/a	32.112	27.121	15.273	n/a	34.833	n/a	22.022	n/a	16.927	27.82	18.408	26.019	11.012	39.111	n/a	n/a	16.785	15.637	25.063	22.163	33.219	5.082	n/a	24.667	9.693	23.616	33.534	13.911	17.497	18.192	31.244	n/a	18.513	26.068	28.271	22.446	21.871	39.659	24.956		17.361	17.834	22.528	17.879	28.494	22.552	n/a	26.813		33.09		17.545	n/a		n/a		37.839		15.855	n/a	23.212		10.105	7.781	24.829	n/a	13.309	27.01		n/a	25.628	20.793		n/a	50.935	n/a	23.658	30.044	n/a	n/a	19.737	23.346	23.349	n/a	11.653	19.866	31.49	16.17	18.971	n/a	19.989	24.457	25.058	20.642	21.439	24.005	30.004		32.677	n/a	16.284		n/a	n/a	17.718	14.665	n/a	29.744	4.983	36.551	n/a	n/a	8.199	17.784	n/a	22.289	23.025	26.693	19.849	26.483	5.337	n/a	14.916	23.958	29.464	18.184	23.702	n/a	26.678	28.009		17.64	n/a	19.095	22.417	24.395			11.904	n/a	24.507	23.217	23.548	15.684	n/a	n/a	25.184	14.3	n/a	14.756	n/a
1/1/1988	n/a	43.778	23.504	10.784		16.14	n/a	28.877	25.784	n/a	15.468	11.989	17.103	14.155	n/a	22.599	25.659	16.76	38.602	13.981	n/a	33.511	22.983	n/a	18.142	16.244	53.677	35.76	7.874	22.389	23.66	10.579	15.306	24.877	39.535	23.347	11.614	n/a	43.625	24.466	15.627	n/a	36.374	n/a	21.057	n/a	22.834	28.264	17.631	34.984	11.396	37.3	n/a	n/a	22.784	12.566	27.434	23.236	37.037	4.033	n/a	25.516	10.215	26.555	33.127	13.699	18.389	23.496	19.413	n/a	22.171	28.352	26.652	22.514	22.842	39.706	18.321		16.667	17.693	23.014	20.692	30.66	22.663	n/a	27.229		34.704		15.696	n/a		n/a		42.932		19.597	n/a	23.949		13.294	9.399	27.646	n/a	12.905	28.751		n/a	30.373	19.971		n/a	53.619	n/a	23.556	36.253	n/a	n/a	20.765	24.573	20.849	n/a	19.052	19.093	30.381	15.71	17.852	n/a	4.997	27.225	24.366	24.044	22.377	27.42	31.708		29.248	n/a	14.975		n/a	n/a	19.689	10.92	n/a	30.262	5.101	33.448	n/a	n/a	6.545	21.228	n/a	24.199	24.079	43.962	23.286	25.032	7.748	n/a	26.114	24.924	30.415	13.971	28.883	n/a	19.804	32.687		14.595	n/a	12.806	19.901	24.256			13.225	n/a	26.142	25.588	22.757	14.552	n/a	n/a	27.881	14.3	n/a	11.32	n/a
1/1/1989	n/a	43.506	30.518	10.727		13.454	n/a	30.205	26.616	n/a	24.611	13.938	17.404	15.452	n/a	24.332	27.372	11.91	33.146	11.588	n/a	38.447	25.016	n/a	17.247	18.318	50.54	34.412	8.089	18.378	23.757	11.71	12.737	27.25	37.522	21.26	11.708	159.834	29.344	26.586	11.498	n/a	42.141	n/a	21.323	n/a	29.873	31.271	16.993	31.771	12.881	37.579	n/a	n/a	15.69	14.492	30.439	24.153	25.642	4.565	n/a	26.473	10.98	26.494	28.153	13.515	18.492	22.051	19.23	n/a	20.847	26.523	27.704	20.436	23.71	44.364	23.287		19.254	17.082	22.523	19.785	31.828	23.236	n/a	20.877		37.096		12.299	n/a		n/a		46.565		23.239	n/a	23.64		13.39	10.674	30.482	n/a	15.124	29.598		n/a	33.227	20.287		n/a	58.901	n/a	26.571	35.225	n/a	14.107	20.034	25.2	23.083	n/a	13.678	19.91	27.392	14.568	18.796	n/a	2.388	23.223	23.844	17.915	26.474	24.13	29.847		27.746	n/a	13.871		n/a	n/a	19.445	9.345	n/a	29.635	6.177	34.102	n/a	n/a	8.184	22.746	n/a	25.596	22.394	46.396	28.177	24.091	2.53	n/a	26.576	27.081	31.168	16.184	25.53	n/a	22.09	35.231		22.322	n/a	16.346	22.931	22.564			13.634	n/a	24.056	26.754	22.449	12.537	n/a	n/a	12.699	13.594	n/a	11.755	n/a
