date	ABW	AND	AFG	AGO	ALB	ARB	ARE	ARG	ARM	ASM	ATG	AUS	AUT	AZE	BDI	BEL	BEN	BFA	BGD	BGR	BHR	BHS	BIH	BLR	BLZ	BMU	BOL	BRA	BRB	BRN	BTN	BWA	CAF	CAN	CEB	CHE	CHI	CHL	CHN	CIV	CMR	COG	COL	COM	CPV	CRI	CSS	CUB	CUW	CYM	CYP	CZE	DEU	DJI	DMA	DNK	DOM	DZA	EAP	EAS	ECA	ECS	ECU	EGY	EMU	ERI	ESP	EST	ETH	EUU	FCS	FIN	FJI	FRA	FRO	FSM	GAB	GBR	GEO	GHA	GIN	GMB	GNB	GNQ	GRC	GRD	GRL	GTM	GUM	GUY	HIC	HKG	HND	HPC	HRV	HTI	HUN	IDN	IMN	IND
1/1/1960	26683	5574	8255331	4720831	1114818	63558203	24542	5441168	909889	6762	32997	1898168	2486372	1845144	2728859	690173	2206087	4602314	45725596	4948578	28730	44126	2602475	5541766	42326	0	2335665	39045770	146003	46312	216049	507994	1201297	5540868	50720637	2609623	67074	2475242	558984648	2860428	4614153	693279	9058773	165044	168572	876422	2866619	2970638	31568	0	368806	3884203	20836712	41546	37302	1205031	2298284	7730687	744827185	799992005	95607546	297417869	3005607	16821705	100593376	1270373	13227520	514503	20726230	158832585	98043211	1980489	276623	17845587	26939	34601	412340	11295344	2075477	5105496	3202786	323303	532576	187732	3671291	62604	13476	2843019	33272	400547	334750413	455190	1546862	142608688	2891624	3263310	4401831	74987096	21739	369064480
1/1/1961	27296	5609	8385191	4787727	1146208	64600649	25869	5402332	925591	6831	33774	1893125	2493385	1919793	2780301	683837	2222953	4659834	46976059	4862618	29660	45521	2631967	5498539	43828	0	2369612	39503508	146304	46932	220602	519958	1211899	5541960	50539793	2626340	67966	2467556	550002064	2920887	4681362	703870	9114917	166223	171052	907521	2911961	3018864	31403	0	367884	3828621	20768071	42968	37895	1179808	2345543	7778456	739999318	795506857	96316229	297227728	3064932	17166557	100232858	1296317	13124738	510808	21163501	158290687	99694216	1948522	283997	17741016	27040	35592	411759	11418528	2090349	5232513	3236388	330281	537712	188407	3657099	63408	13545	2893094	33199	412959	334431914	465932	1586616	145407039	2876785	3313411	4379303	76778847	21592	375980213
1/1/1962	27694	5618	8521053	4853505	1180553	65667909	27782	5371521	940639	6955	34672	1897359	2505220	1997761	2832162	675039	2241144	4717616	48224941	4768184	30545	46989	2658843	5456899	45374	0	2404298	39967688	146709	47427	225317	532753	1223251	5492247	50352155	2658208	68915	2461756	551084460	2984547	4751458	714819	9165187	167297	174546	939717	2957798	3071355	31474	0	365829	3796447	20903401	44633	38443	1157609	2391158	7807385	745309719	800546460	96980874	297064339	3125492	17529440	99834802	1323123	12934262	508171	21625097	157809721	101375395	1924044	291634	17568965	27081	36584	409915	11588798	2103850	5360011	3269526	335450	542438	190272	3604016	64043	13508	2944002	33193	425862	333495920	476544	1627937	148288675	2857389	3364298	4350895	78620621	21576	382784041
1/1/1963	27935	5600	8663230	4918838	1214693	66735330	29935	5338650	954695	7114	35673	1891393	2517777	2077676	2886190	665612	2260567	4776779	49524053	4666744	31386	48480	2683989	5414847	46977	0	2439768	40416004	147171	47836	230228	546422	1235311	5441341	50175481	2679371	69911	2454791	561172774	3050622	4824262	726104	9209372	168328	178947	970782	3002437	3126346	31570	0	363067	3767312	21050022	46500	38981	1135659	2435661	7830844	759713901	814670163	97604973	296659523	3189908	17893597	99246236	1350770	12735859	505607	22107741	157145688	103095640	1899880	299226	17226723	27087	37613	408251	11749886	2116256	5483782	3302967	339028	547184	192290	3542618	64512	13474	2995688	33224	438611	332266801	483476	1669613	151249985	2835932	3415864	4319558	80513102	21685	389803759
1/1/1964	28107	5555	8811623	4982531	1248887	67790628	31903	5303190	967334	7283	36732	1886106	2531075	2157742	2944700	657593	2281145	4839103	50901113	4561889	32188	49947	2704966	5370261	48659	0	2476046	40827667	147605	48207	235372	560330	1247901	5390322	50005251	2687186	70945	2446639	570563019	3117966	4899463	737654	9246389	169391	184037	996045	3043603	3181050	31616	0	360596	3742092	21171231	48464	39559	1113984	2478601	7852085	773535552	828174780	98166718	296132404	3257439	18257779	98616194	1379160	12549483	503223	22605740	156441716	104875107	1872544	306348	16863235	27078	38726	406893	11901600	2127156	5598300	3337829	340589	552539	194816	3480851	64826	13335	3051189	33255	450328	330880475	485492	1709927	154282327	2812582	3467874	4290506	82462148	21887	397004137
1/1/1965	28278	5483	8966661	5044166	1282417	68814190	33486	5265788	978380	7447	37814	1880728	2544011	2236571	3008401	649491	2302815	4905879	52367107	4450351	32786	51338	2720389	5327265	50428	0	2513304	41192602	147953	48571	240788	572871	1261042	5334312	49746715	2681269	72002	2437561	585836641	3185903	4976952	749477	9376456	170537	189601	1020682	3080364	3233492	31610	0	359110	3714591	21304018	50458	40206	1092288	2519806	7873789	793358130	847668559	98593598	295350184	3326476	18620730	97952613	1408290	12373341	500376	23115773	155625685	106693410	1841101	312741	16472329	27071	39943	405907	12053854	2135939	5700639	3374543	342607	558929	198023	3422784	65000	13308	3121134	33262	460410	329254430	488523	1747915	157406628	2787536	3520268	4259900	84471124	22159	404385947
1/1/1966	28461	5384	9125330	5103356	1315273	69896632	34619	5225334	987607	7600	38916	1881054	2558257	2313561	3078344	639888	2325429	4977618	53945653	4357529	33061	52632	2729420	5281469	52299	0	2551439	41503755	148202	48923	246462	585753	1274743	5284252	49511646	2671919	73078	2427231	603653090	3290976	5056534	761462	9508901	171820	195737	1044596	3112083	3282858	31433	0	358807	3683086	21433533	52514	40945	1073702	2558961	7938733	815831866	869790370	98973850	294095618	3396829	18983251	97209688	1438098	12186583	495998	23630908	154756626	108647539	1810359	318283	16049145	27114	41308	405310	12196452	2140828	5787569	3413737	345187	566501	202217	3373709	65025	13166	3192381	33236	468607	327100153	483067	1783107	160658215	2760449	3573092	4230146	86536379	22538	411923288
1/1/1967	28636	5263	9287155	5161367	1348911	71117678	35607	5183136	995074	7745	40042	1862236	2573835	2388796	3154215	629663	2348881	5053909	55610723	4279849	33317	53824	2732772	5234313	54253	0	2590494	41767449	148392	49241	252427	598929	1288918	5275481	49426465	2667363	74169	2415627	620353282	3400914	5138276	773643	9638760	174783	202327	1067787	3138943	3329466	31261	0	359454	3647740	21482504	54658	41750	1055896	2595971	8145526	837211271	890601161	99376234	292803118	3468433	19344437	96374044	1468652	12022749	490134	24152029	153952033	110691201	1782653	323953	15602023	27302	42784	404943	12339783	2142021	5861467	3454151	348149	575114	207083	3326787	64901	13051	3265091	33183	475168	324661040	485528	1816109	163997705	2732268	3626264	4203213	88651910	23153	419633509
1/1/1968	28811	5124	9456497	5220966	1386348	72332185	37433	5140509	1001077	7876	41172	1852628	2583601	2462467	3230700	618582	2372973	5134081	57268991	4204219	33609	54860	2732061	5183803	56233	0	2630502	41985348	148581	49494	258841	612259	1302140	5256115	49294848	2662877	75268	2402188	637762514	3516260	5222144	786125	9761409	177912	208676	1090029	3162578	3374166	31239	0	360734	3609212	21528785	56831	42543	1036317	2630596	8360846	859258372	911808129	99690851	291478253	3540842	19699313	95614348	1503677	11865098	484868	24719764	153173447	112790615	1753154	329330	15260779	27488	44215	404416	12477844	2141408	5930645	3491977	351585	584501	211407	3274028	64659	12939	3339606	33100	480611	321919408	485985	1847895	167422442	2702363	3678805	4176578	90812684	23805	427581725
1/1/1969	28987	4976	9639573	5285890	1424962	73523928	41525	5100311	1006080	7990	42285	1849015	2588892	2534914	3300457	607025	2397564	5216825	58795259	4129877	34014	55692	2729618	5128878	58154	0	2671542	42169737	148854	49664	265895	625589	1314632	5223145	49088427	2654478	76366	2386729	656497738	3637758	5308303	799133	9872297	181061	213881	1111143	3185629	3418340	31235	0	362203	3569696	21650322	58961	43217	1016431	2662961	8580864	882614747	934812001	99942590	290264903	3614007	20042682	95066324	1540118	11668253	480160	25324634	152536228	114921233	1715054	334484	15156862	27660	45395	403310	12608008	2141260	6006370	3522340	355569	594275	213570	3212148	64346	12805	3416335	32994	485700	319813329	483915	1880017	170923507	2670367	3729660	4151312	93007613	24449	435849159
1/1/1970	29164	4818	9838946	5358533	1457678	74680442	47558	5063111	1010788	8083	43262	1842906	2594215	2588666	3358758	594492	2422433	5301408	60109553	4049527	34576	56287	2726786	5061496	59913	0	2713557	42319623	149186	49719	273710	638730	1325961	5191541	48793002	2635031	77459	2368762	675928190	3765634	5396461	812683	9967256	184148	217349	1131011	3209637	3462867	31194	0	363502	3509276	21673217	61030	43582	998714	2692457	8802770	906676097	958195559	100116396	288798752	3687356	20371036	94423952	1578116	11484091	476747	25974719	151729502	117073635	1671905	339604	15061558	27802	46193	401281	12737421	2063018	6107464	3541941	360081	604114	212494	3146066	64012	12647	3495642	31942	490892	317492668	485809	1913467	174559471	2637954	3778118	4123586	95231336	25049	444484045
1/1/1971	29357	4657	10052755	5444059	1489206	75815500	55582	5038737	1015401	8156	43851	1862928	2602592	2619209	3403417	582711	2447483	5387932	61169807	3981375	35283	56630	2725919	4981753	61391	0	2756585	42417252	149412	49656	282308	651402	1335987	5175447	48395086	2634668	78585	2349377	695661123	3899814	5449008	826828	10045602	187083	218715	1149556	3234599	3461414	31248	0	364550	3410396	21667597	62874	43319	980763	2718881	9026183	931243969	982192462	100447924	287503988	3760984	20683039	93829296	1617737	11335225	475284	26685375	150857984	119269927	1636243	344759	14978437	27905	46538	396651	12839362	2065883	6252004	3550345	365255	614010	207860	3095190	63777	12540	3577561	28159	495954	315912679	483858	1948434	178273948	2605917	3823885	4091134	97476679	25649	453335316
